ID: 1, COR: RED, TIPO: SUV, ESTACAO: 0, FUNCIONARIO: 0, POS_EST: 0
ID: 6, COR: BLUE, TIPO: SEDAN, ESTACAO: 1, FUNCIONARIO: 2, POS_EST: 5
ID: 7, COR: RED, TIPO: SUV, ESTACAO: 1, FUNCIONARIO: 0, POS_EST: 6
ID: 3, COR: BLUE, TIPO: SUV, ESTACAO: 3, FUNCIONARIO: 0, POS_EST: 2
ID: 8, COR: GREEN, TIPO: SEDAN, ESTACAO: 0, FUNCIONARIO: 3, POS_EST: 7
ID: 5, COR: GREEN, TIPO: SUV, ESTACAO: 2, FUNCIONARIO: 0, POS_EST: 4
ID: 2, COR: GREEN, TIPO: SEDAN, ESTACAO: 3, FUNCIONARIO: 2, POS_EST: 1
ID: 4, COR: RED, TIPO: SEDAN, ESTACAO: 2, FUNCIONARIO: 2, POS_EST: 3
ID: 15, COR: BLUE, TIPO: SUV, ESTACAO: 3, FUNCIONARIO: 1, POS_EST: 14
ID: 14, COR: GREEN, TIPO: SEDAN, ESTACAO: 2, FUNCIONARIO: 4, POS_EST: 13
ID: 13, COR: RED, TIPO: SUV, ESTACAO: 0, FUNCIONARIO: 2, POS_EST: 12
ID: 12, COR: BLUE, TIPO: SEDAN, ESTACAO: 0, FUNCIONARIO: 4, POS_EST: 11
ID: 11, COR: GREEN, TIPO: SUV, ESTACAO: 3, FUNCIONARIO: 4, POS_EST: 10
ID: 10, COR: RED, TIPO: SEDAN, ESTACAO: 1, FUNCIONARIO: 1, POS_EST: 9
ID: 9, COR: BLUE, TIPO: SUV, ESTACAO: 1, FUNCIONARIO: 3, POS_EST: 8
ID: 19, COR: RED, TIPO: SUV, ESTACAO: 3, FUNCIONARIO: 3, POS_EST: 18
ID: 18, COR: BLUE, TIPO: SEDAN, ESTACAO: 0, FUNCIONARIO: 1, POS_EST: 17
ID: 17, COR: GREEN, TIPO: SUV, ESTACAO: 2, FUNCIONARIO: 3, POS_EST: 16
ID: 16, COR: RED, TIPO: SEDAN, ESTACAO: 2, FUNCIONARIO: 1, POS_EST: 15
ID: 20, COR: GREEN, TIPO: SEDAN, ESTACAO: 1, FUNCIONARIO: 4, POS_EST: 19
